problem,Level ,DESPC,DESSC,DESWC,DESPL,DESPLd,DESSL,DESSLd,DESWLsy,DESWLsyd,DESWLlt,DESWLltd,PCNARz,PCNARp,PCSYNz,PCSYNp,PCCNCz,PCCNCp,PCREFz,PCREFp,PCDCz,PCDCp,PCVERBz,PCVERBp,PCCONNz,PCCONNp,PCTEMPz,PCTEMPp,CRFNO1,CRFAO1,CRFSO1,CRFNOa,CRFAOa,CRFSOa,CRFCWO1,CRFCWO1d,CRFCWOa,CRFCWOad,LSASS1,LSASS1d,LSASSp,LSASSpd,LSAPP1,LSAPP1d,LSAGN,LSAGNd,LDTTRc,LDTTRa,LDMTLD,LDVOCD,CNCAll,CNCCaus,CNCLogic,CNCADC,CNCTemp,CNCTempx,CNCAdd,CNCPos,CNCNeg,SMCAUSv,SMCAUSvp,SMINTEp,SMCAUSr,SMINTEr,SMCAUSlsa,SMCAUSwn,SMTEMP,SYNLE,SYNNP,SYNMEDpos,SYNMEDwrd,SYNMEDlem,SYNSTRUTa,SYNSTRUTt,DRNP,DRVP,DRAP,DRPP,DRPVAL,DRNEG,DRGERUND,DRINF,WRDNOUN,WRDVERB,WRDADJ,WRDADV,WRDPRO,WRDPRP1s,WRDPRP1p,WRDPRP2,WRDPRP3s,WRDPRP3p,WRDFRQc,WRDFRQa,WRDFRQmc,WRDAOAc,WRDFAMc,WRDCNCc,WRDIMGc,WRDMEAc,WRDPOLc,WRDHYPn,WRDHYPv,WRDHYPnv,RDFRE,RDFKGL,RDL2,modified_problem,no_of_equations,no_of_variables,has_exponential_or_mod,has_logarithm,has_fraction,has_equality_or_inequality
"The equation of the line shown can be written as  y=mx+b .  Find  mb .
[asy]
size(100,0);
add(shift(-5,-5)*grid(10,10));
draw((-5,0)--(5,0),linewidth(2));
draw((0,-5)--(0,5),linewidth(2));
label("""",(5,0),E);
label("""",(0,5),N);
draw((-3,-5) -- (2,5),blue,Arrows);
[/asy]
Each grid square in the diagram shown is 1 unit by 1 unit.",Level 3,11,12,59,1.091,0.302,5.75,4.093,1.271,0.582,3.593,1.931,-0.979,16.6,1.836,96.64,0.456,67.36,-1.869,3.14,-1.153,12.51,-1.431,7.64,1.389,91.62,1.406,91.92,0,0,0.455,0.046,0.046,0.308,0.088,0.2,0.053,0.163,0,0,0.16,0.305,-0.011,0,0.177,0.316,0.212,0.58,28.352,0,33.898,16.949,0,0,16.949,0,0,0,0,67.797,67.797,33.898,0,0.333,0.004,0.264,1,1,0.895,1,1,1,0.099,0.098,474.576,186.441,16.949,67.797,16.949,0,0,0,372.882,186.44,135.593,16.949,0,0,0,0,0,0,1.918,2.541,0.69,323.8,555.933,422.067,447.8,440,3.892,4.309,1.826,1.428,94.318,1.325,8.23,"The equation of the line shown can be written as  y=mx+b .  Find  mb .
[asy]
size(100,0);
add(shift(-5,-5)*grid(10,10));
draw((-5,0)--(5,0),linewidth(2));
draw((0,-5)--(0,5),linewidth(2));
label("""",(5,0),E);
label("""",(0,5),N);
draw((-3,-5) -- (2,5),blue,Arrows);
[/asy]
Each grid square in the diagram shown is 1 unit by 1 unit.",0,0,FALSE,FALSE,FALSE,FALSE
"Let  p(x) = 2x - 7  and  q(x) = 3x - b .  If  p(q(4)) = 7 , what is  b ?",Level 3,1,2,21,2,0,9,1.414,1,0,1.524,0.873,1.958,97.44,-0.037,48.8,-2.142,1.62,4.781,100,-1.141,12.71,-2.321,1.02,-1.166,12.3,1.454,92.65,1,1,1,1,1,1,0.4,0,0.4,0,0,0,0.629,0,0.629,0,0,0,0.224,0.722,18.144,0,95.238,0,47.619,0,0,0,47.619,0,0,47.619,47.619,47.619,0,0,-0.007,0.333,1,0,1,0.524,0.619,0.619,0.02,0.02,380.952,190.476,0,0,0,0,0,0,285.714,142.857,0,0,0,0,0,0,0,0,2.318,2.585,1.51,0,613,225,274,325,2.038,7.722,0.838,1.879,100,0.305,28.546,"Let  p(x) = 2x - 7  and  q(x) = 3x - b .  If  p(q(4)) = 7 , what is  b ?",0,0,FALSE,FALSE,FALSE,FALSE
"The sum of two numbers  x  and  y  is 399, and the value of the fraction    frac{x}{y}  is 0.9. What is the value of  y - x ?",Level 3,1,2,28,2,0,14.5,10.607,1.143,0.356,2.893,1.729,-0.568,28.77,-1.948,2.62,-3.689,0,5.766,100,-3.65,0,6.707,100,-3.563,0,1.698,95.45,1,1,1,1,1,1,0.571,0,0.571,0,0,0,0.859,0,0.859,0,0,0,0.314,0.552,21.368,0,71.429,0,0,0,0,0,71.429,0,0,0,0,0,0,0,1,1,1,4.5,0.727,0.643,0.643,0.643,0.016,0.016,607.143,107.143,0,107.143,0,0,0,0,357.143,107.143,0,0,0,0,0,0,0,0,2.487,3.218,1.51,345.75,582.714,281.286,336.286,375.4,3.156,6.262,0.846,2.036,95.927,3.357,40.989,"The sum of two numbers  x  and  y  is 399, and the value of the fraction    frac{x}{y}  is 0.9. What is the value of  y - x ?",0,0,FALSE,FALSE,FALSE,FALSE
"Let  a   bowtie b = a+  sqrt{b+  sqrt{b+  sqrt{b+...}}} . If  7  bowtie g = 9 , find the value of  g .",Level 3,1,2,24,2,0,10.5,0.707,1.125,0.338,2.542,1.615,-0.217,41.68,-0.344,36.69,-1.739,4.18,1.332,90.82,-1.431,7.64,-0.934,17.62,2.433,99.25,0.909,81.59,1,1,1,1,1,1,0.125,0,0.125,0,0,0,0.241,0,0.241,0,0,0,0.102,0.619,15.853,0,41.667,0,41.667,0,0,0,0,0,0,83.333,83.333,41.667,0,0,0.01,0.333,1,2.5,1.125,0.667,0.833,0.833,0.109,0.109,416.667,166.667,0,41.667,0,0,0,0,416.666,125,125,0,0,0,0,0,0,0,2.313,3.095,0,352.5,566,305.5,329.5,384,2.607,4.975,1.139,1.899,99.48,2.365,19.547,"Let  a   bowtie b = a+  sqrt{b+  sqrt{b+  sqrt{b+...}}} . If  7  bowtie g = 9 , find the value of  g .",0,0,FALSE,FALSE,FALSE,FALSE
The quadratic  x^2-3x+9=x+41  has two solutions.  What is the positive difference between these solutions?,Level 3,1,2,15,2,0,9.5,2.121,1.667,0.9,5.8,3.321,-1.053,14.69,-2.489,0.66,-3.32,0.05,1.699,95.45,-3.328,0.05,3.995,100,2.637,99.57,1.205,88.49,1,1,1,1,1,1,0.2,0,0.2,0,0,0,0.333,0,0.333,0,0,0,0.131,0.842,33.693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209,1,1,4.5,1.75,0.467,0.867,0.733,0.033,0.033,333.333,133.333,0,66.667,0,0,0,0,333.333,133.333,133.333,0,0,0,0,0,0,0,2.557,3.075,1.64,463.333,579.6,304.4,324,346,4.235,5.507,0.976,1.734,58.194,7.006,24.218,The quadratic  x^2-3x+9=x+41  has two solutions.  What is the positive difference between these solutions?,0,0,FALSE,FALSE,FALSE,FALSE
"In the equation  |x-7| -3 = -2 , what is the product of all possible values of  x ?",Level 3,1,1,17,1,0,17,0,1.353,0.702,3.471,2.322,-2.488,0.66,-1.775,3.84,-0.838,20.33,0.399,65.17,-5.018,0,4.269,100,3.342,99.96,-27.588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.824,26.973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,6,0.833,0,0,0,0,0,470.588,117.647,0,176.471,0,0,0,0,352.942,58.824,117.647,0,0,0,0,0,0,0,2.31,3.352,0,433,580.5,333.667,311.75,325,2.474,4.861,0.846,1.58,75.116,7.005,6.262,"In the equation  |x-7| -3 = -2 , what is the product of all possible values of  x ?",0,0,FALSE,FALSE,FALSE,FALSE
BoatsRUs built 7 canoes in January of this year and then each subsequent calendar month they built twice the number of canoes they had built the previous month. How many total canoes were built by BoatsRUs by the end of May of this year?,Level 3,1,2,44,2,0,22,8.485,1.409,0.757,4.364,2.001,-0.128,45.22,-2.09,1.83,0.53,70.19,4.078,100,0.078,52.79,1.618,94.63,-0.109,46.02,1.89,97.06,1,1,1,1,1,1,0.423,0,0.423,0,0,0,0.752,0,0.752,0,0,0,0.27,0.636,44,0,90.909,45.455,22.727,0,22.727,90.909,22.727,0,0,0,0,22.727,0,1,0.389,1,1,0.5,0.8,0.591,0.818,0.818,0.011,0.011,431.818,136.364,0,159.091,22.727,0,0,0,318.182,90.91,90.909,45.455,45.455,0,0,0,0,45.455,2.078,3.067,0,326.5,556.353,400.5,432.235,428.818,3.348,6.965,1.925,2.371,65.304,9.616,23.887,BoatsRUs built 7 canoes in January of this year and then each subsequent calendar month they built twice the number of canoes they had built the previous month. How many total canoes were built by BoatsRUs by the end of May of this year?,0,0,FALSE,FALSE,FALSE,FALSE
"If  g(x) = 2x^2+2x-1 , what is the value of  g(g(2)) ?",Level 3,1,1,14,1,0,15,0,1.071,0.267,2.286,1.637,-2.405,0.82,-0.476,31.92,-1.431,7.64,0.751,77.34,-1.939,2.68,3.447,99.97,3.14,99.91,-27.459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.733,15.75,0,71.429,0,71.429,0,0,0,0,0,0,0,0,0,0,0,0.043,0,-2,8,1.667,0,0,0,0,0,285.714,142.857,0,71.429,0,0,0,0,357.143,142.857,71.429,0,0,0,0,0,0,0,2.312,3.002,0,433,582.5,242.5,281.5,325,3.5,7.492,0.423,2.394,100,2.508,6.299,"If  g(x) = 2x^2+2x-1 , what is the value of  g(g(2)) ?",0,0,FALSE,FALSE,FALSE,FALSE
Solve for  x :     sqrt[3]{3-  frac{1}{x}}=-4  ,Level 3,1,1,10,1,0,10,0,1,0,2.5,1.509,-5.235,0,4.395,100,-11.112,0,-0.577,28.43,-0.053,48.01,-8.98,0,6.075,100,-23.537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,14,0,100,100,100,0,0,100,0,0,0,100,100,100,0,0.5,0,0,-2,0,5,0,0,0,0,0,100,200,0,100,0,0,0,0,300,200,100,0,0,0,0,0,0,0,1.685,2.145,0,0,0,0,0,0,1.364,2.778,1.167,0.97,100,0.11,-7.616,Solve for  x :     sqrt[3]{3-  frac{1}{x}}=-4  ,0,0,FALSE,FALSE,FALSE,FALSE
"Given that  a > 0 , if  f(g(a)) = 8 , where  f(x) = x^2 + 8  and  g(x) = x^2 - 4 , what is the value of  a ?",Level 3,1,1,31,1,0,27,0,1.065,0.25,1.806,1.376,-2.02,2.17,-0.949,17.11,-0.525,30.15,0.85,80.23,-3.268,0.06,7.311,100,0.978,83.4,-27.327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.667,19.895,0,64.516,0,32.258,0,0,0,32.258,0,0,0,0,0,0,0,0.061,1,-2,0,0.857,0,0,0,0,0,387.097,96.774,0,64.516,0,0,0,0,225.806,64.516,0,0,0,0,0,0,0,0,2.541,2.951,1.66,433,598,253,290.75,350,3.417,7.599,1.673,1.57,85.271,9.067,11.393,"Given that  a > 0 , if  f(g(a)) = 8 , where  f(x) = x^2 + 8  and  g(x) = x^2 - 4 , what is the value of  a ?",0,0,FALSE,FALSE,FALSE,FALSE
"If 15 bahs are equal to 24 rahs, and 9 rahs are equal in value to 15 yahs, how many bahs are equal in value to 1000 yahs?",Level 3,1,1,28,1,0,28,0,1.214,0.418,3.25,1.206,-4.597,0,-1.166,12.3,-3.354,0.04,0.62,72.91,-4.201,0,13.853,100,-0.572,28.43,-27.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.571,21.137,0,71.429,0,35.714,0,0,0,35.714,0,0,0,0,0,0,0,1,1,-2,0,0.625,0,0,0,0,0,285.714,107.143,0,178.571,0,0,0,0,285.715,0,142.857,0,0,0,0,0,0,0,2.939,3.383,0,433,590.556,245.167,306.222,358.5,2.581,1.75,0.846,0.533,75.711,9.655,20.223,"If 15 bahs are equal to 24 rahs, and 9 rahs are equal in value to 15 yahs, how many bahs are equal in value to 1000 yahs?",0,0,FALSE,FALSE,FALSE,FALSE
"What is the distance, in units, between the points  (-3, -4)  and  (4, -5) ? Express your answer in simplest radical form.",Level 3,1,2,21,2,0,10.5,4.95,1.381,0.59,4.19,2.272,-1.455,7.35,-0.537,29.81,-0.189,42.86,-2.434,0.75,-3.114,0.09,3.899,100,-1.252,10.56,1.723,95.73,0,0,0,0,0,0,0,0,0,0,0,0,0.053,0,0.053,0,0,0,0.033,0.857,41.16,0,47.619,0,0,0,0,0,47.619,0,0,47.619,47.619,47.619,0,0,0.071,1,1,0.5,1.5,0.714,0.905,0.905,0.022,0.022,333.333,47.619,0,142.857,0,0,0,0,238.095,47.619,142.857,0,47.619,0,0,47.619,0,0,2.145,3.162,1.62,379.8,554.625,392.714,401.625,422.75,3.963,6.27,1.995,1.309,79.345,4.801,3.946,"What is the distance, in units, between the points  (-3, -4)  and  (4, -5) ? Express your answer in simplest radical form.",0,0,FALSE,FALSE,FALSE,FALSE
"Given that  x =   frac{5}{7}  is a solution to the equation  56 x^2 + 27 = 89x - 8,  what is the other value of  x  that will solve the equation? Express your answer as a common fraction.",Level 3,1,2,40,2,0,18.5,16.263,1.325,0.616,3.325,2.303,-0.23,40.9,-0.501,30.85,-3.173,0.08,-2.146,1.62,-2.365,0.91,1.291,90.15,2.478,99.32,1.543,93.82,0,0,0,0,0,0,0,0,0,0,0,0,0.147,0,0.147,0,0,0,0.07,0.784,47.915,0,25,0,0,0,25,0,0,0,0,25,25,25,0,0,0.096,0.381,1,0,1,0.8,0.95,0.95,0.013,0.013,300,150,0,100,0,0,0,0,200,150,50,0,25,0,0,25,0,0,2.245,2.939,1.17,425,581.333,312.25,330.667,377.6,3.5,6.208,1.631,1.388,74.44,7.845,5.624,"Given that  x =   frac{5}{7}  is a solution to the equation  56 x^2 + 27 = 89x - 8,  what is the other value of  x  that will solve the equation? Express your answer as a common fraction.",0,0,FALSE,FALSE,FALSE,FALSE
"If    log_5 (x+4)=3 , find    log_{11} x .",Level 3,1,1,9,1,0,10,0,1,0,2.333,1,-2.783,0.27,1.966,97.5,2.326,98.98,0.611,72.91,0.09,53.19,-1.336,9.18,1.644,94.95,-27.281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,14,0,111.111,0,111.111,0,0,0,0,0,0,111.111,111.111,0,0,0,0.067,0,-2,6,1,0,0,0,0,0,333.333,222.222,0,0,0,0,0,0,222.222,111.111,0,0,0,0,0,0,0,0,1.457,1.832,0,272,504,351,370,384,2.909,3.75,2.875,1.205,100,0,-12.686,"If    log_5 (x+4)=3 , find    log_{11} x .",0,0,FALSE,FALSE,FALSE,FALSE
"Let  p  and  q  be the two distinct solutions to the equation   (x-3)(x+3) = 21x - 63.  If  p > q , what is the value of  p - q ?",Level 3,1,2,27,2,0,14,5.657,1.222,0.577,2.963,2.192,0.498,68.79,-1.017,15.62,-3.292,0.05,3.502,100,-1.953,2.56,-1.022,15.39,0.201,57.93,1.455,92.65,1,1,1,1,1,1,0.357,0,0.357,0,0,0,0.682,0,0.682,0,0,0,0.242,0.714,28,0,74.074,0,37.037,0,0,0,37.037,0,0,37.037,37.037,37.037,0,0,0.135,0.5,1,2,1.125,0.704,0.778,0.704,0.017,0.017,444.444,148.148,0,74.074,0,0,0,0,296.296,111.111,74.074,0,0,0,0,0,0,0,2.246,3.008,1.51,469.5,563.2,269,318.4,349,2.406,6.821,0.84,1.81,89.751,4.095,24.525,"Let  p  and  q  be the two distinct solutions to the equation   (x-3)(x+3) = 21x - 63.  If  p > q , what is the value of  p - q ?",0,0,FALSE,FALSE,FALSE,FALSE
"Without using a calculator, compute  1003^2-997^2-1001^2+999^2 .",Level 3,1,1,10,1,0,13,0,1.6,0.966,5.1,2.726,-3.379,0.04,2.269,98.81,-12.579,0,-0.01,49.6,-6.637,0,-8.207,0,5.933,100,-23.897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.769,15.773,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0.066,0,-2,4,0.5,0,0,0,0,0,300,200,0,100,0,0,100,0,100,200,0,0,0,0,0,0,0,0,1.207,2.148,0.69,0,0,0,0,0,1.5,7,1.333,0.806,61.325,7.19,-18.237,"Without using a calculator, compute  1003^2-997^2-1001^2+999^2 .",0,0,FALSE,FALSE,FALSE,FALSE
Evaluate  i^{22} + i^{222} .,Level 3,1,1,6,1,0,5,0,1.5,1.225,2.667,2.733,-0.367,35.94,1.05,85.08,3.498,99.98,1.305,90.32,-4.237,0,0.194,57.53,2.608,99.53,-28.082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,166.667,166.667,0,0,0,0,0,-2,0,0.667,0,0,0,0,0,666.667,166.667,0,0,0,0,0,0,333.334,166.667,0,0,166.667,333.333,0,0,0,0,2.47,2.47,0,0,565,435.5,402.5,439,1.429,3.583,1.5,1.238,73.845,4.45,9.814,Evaluate  i^{22} + i^{222} .,0,0,FALSE,FALSE,FALSE,FALSE
"What is the ordered pair of integers  (x,y)  for which  12x + 21y = 15  and  21x + 12y = 51 ?",Level 3,1,1,22,1,0,18,0,1.136,0.468,2.864,1.885,-2.858,0.22,-1.346,9.01,2.277,98.84,0.544,70.54,-1.505,6.68,6.521,100,0.054,51.99,-26.852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,90.909,45.455,45.455,0,0,45.455,45.455,0,0,0,0,0,0,1,0.096,1,-2,1,1.667,0,0,0,0,0,227.273,90.909,0,45.455,0,0,0,0,272.727,90.91,0,0,0,0,0,0,0,0,2.3,3.277,0,344,544.25,315.333,368.667,410.667,2.083,4.722,2.09,1.355,88.399,6.395,6.039,"What is the ordered pair of integers  (x,y)  for which  12x + 21y = 15  and  21x + 12y = 51 ?",0,0,FALSE,FALSE,FALSE,FALSE
Calculate the sum  1 + 3 + 5 +   cdots + 15 + 17 .,Level 2,1,1,14,1,0,9,0,1.143,0.535,2.286,2.268,-2.672,0.38,0.081,53.19,3.797,100,0.649,73.89,-4.422,0,1.227,88.88,2.196,98.57,-27.641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,71.429,71.429,0,0,0,0,0,-2,0,1.5,0,0,0,0,0,285.714,142.857,0,0,0,0,71.429,0,285.715,142.858,0,0,0,0,0,0,0,0,1.575,2.64,0,278,537,379,465,429,1.733,1.571,1.417,0.608,95.927,3.357,-10.058,Calculate the sum  1 + 3 + 5 +   cdots + 15 + 17 .,0,0,FALSE,FALSE,FALSE,FALSE
What is    frac{1}{4}  %  of 120? Express your answer as a decimal.,Level 2,1,2,13,2,0,6.5,0.707,1.308,0.63,3.385,2.181,0.095,53.59,-0.087,46.81,-1.666,4.85,-2.277,1.16,-0.751,22.66,3.107,99.9,2.757,99.7,1.49,93.06,0,0,0,0,0,0,0,0,0,0,0,0,0.135,0,0.135,0,0,0,0.065,1,0,0,76.923,0,0,0,76.923,0,0,0,0,76.923,76.923,76.923,0,0,0.071,1,1,0.5,1,0.846,1,1,0.034,0.034,384.615,153.846,0,153.846,0,0,0,0,153.846,153.846,76.923,0,76.923,0,0,76.923,0,0,2.903,3.458,0,380.5,582.667,341.333,366,395.5,2.533,7.55,1.995,1.273,89.581,2.379,21.521,What is    frac{1}{4}  %  of 120? Express your answer as a decimal.,0,0,FALSE,FALSE,FALSE,FALSE
Evaluate    left  lfloor |{-34.1}|  right  rfloor .,Level 2,1,1,6,1,0,7,0,1.5,1.225,5.667,1.366,-4.979,0,1.835,96.64,2.631,99.57,-0.275,39.36,-4.473,0,1.589,94.29,1.127,86.86,-27.489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,166.667,166.667,0,0,0,0,0,-2,0,4,0,0,0,0,0,166.667,166.667,0,0,0,0,0,0,333.333,166.667,333.333,0,0,0,0,0,0,0,1.767,1.767,0,0,564.333,363.333,365,366.667,3.286,0,1.5,0.214,73.845,4.45,-5.802,Evaluate    left  lfloor |{-34.1}|  right  rfloor .,0,0,FALSE,FALSE,FALSE,FALSE
"If  x   diamondsuit y = 3x + 5y  for all  x  and  y , then what is the value of  2   diamondsuit 7 ?",Level 2,1,1,22,1,0,20,0,1.318,0.894,2.955,2.853,-1.613,5.37,-0.642,26.11,-1.596,5.59,0.409,65.54,2.896,99.81,2.706,99.65,0.623,73.24,-27.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,37.333,0,181.818,45.455,136.364,0,45.455,45.455,45.455,0,0,0,0,0,0,1,0,0,-2,13,1,0,0,0,0,0,409.091,90.909,0,90.909,0,0,0,0,227.273,45.455,0,45.455,0,0,0,0,0,0,2.65,3.13,0,433,591.667,225,255.667,298.5,1.917,4.467,0.423,0.966,73.002,8.542,13.811,"If  x   diamondsuit y = 3x + 5y  for all  x  and  y , then what is the value of  2   diamondsuit 7 ?",0,0,FALSE,FALSE,FALSE,FALSE
"What is the sum of all integers from 80 through 90, inclusive?",Level 2,1,1,12,1,0,12,0,1.333,0.778,4.083,2.503,-1.974,2.44,-1.74,4.09,0.478,68.08,0.731,76.73,-5.072,0,4.303,100,2.999,99.86,-27.514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,1,2,0,0,0,0,0,416.667,83.333,0,166.667,0,0,0,0,166.666,83.333,0,0,0,0,0,0,0,0,3.13,3.257,0,278,533.333,302,369.5,377,2.286,6.143,0.846,0.938,81.883,4.819,24.47,"What is the sum of all integers from 80 through 90, inclusive?",0,0,FALSE,FALSE,FALSE,FALSE
What value of  k  will make  x^2 - 16x + k  the square of a binomial?,Level 2,1,1,16,1,0,15,0,1.188,0.544,2.938,2.112,-2.584,0.49,-0.118,45.62,4.143,100,0.81,78.81,-1.017,15.62,4.182,100,1.939,97.32,-28.196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.867,31.5,0,62.5,62.5,0,0,0,0,0,0,0,62.5,125,0,0.5,1,0.079,0,-2,4,0.75,0,0,0,0,0,437.5,125,0,125,0,0,0,0,312.5,62.5,0,0,0,0,0,0,0,0,1.976,2.866,0,341.5,582,358.333,407,496.5,5.056,7.521,1.671,2.275,90.09,4.668,-1.154,What value of  k  will make  x^2 - 16x + k  the square of a binomial?,0,0,FALSE,FALSE,FALSE,FALSE
The quotient of two positive integers is    frac{5}{2}  and their product is 160. What is the value of the larger of the two integers?,Level 2,1,2,26,2,0,13,2.828,1.385,0.697,3.885,2.269,-0.857,19.77,-3.197,0.07,-5.71,0,3.72,100,-4.345,0,8.134,100,-0.846,20.05,2.013,97.78,1,1,1,1,1,1,0.385,0,0.385,0,0,0,0.558,0,0.558,0,0,0,0.203,0.654,26,0,38.462,0,0,0,0,0,38.462,0,0,0,0,0,0,0,1,1,1,3.5,1.125,0.615,0.769,0.692,0.019,0.019,423.077,115.385,0,115.385,0,0,0,0,192.308,115.385,115.385,0,38.462,0,0,0,0,38.462,3.167,3.804,0,433,543.556,290.2,333.714,325,3.25,6.233,0.846,1.204,76.469,5.823,46.568,The quotient of two positive integers is    frac{5}{2}  and their product is 160. What is the value of the larger of the two integers?,0,0,FALSE,FALSE,FALSE,FALSE
"If  f(1)=5 ,  f(2)=8  and  f(x)=ax+bx+2 , what is the value of  f(3) ?",Level 2,1,1,18,1,0,20,0,1.056,0.236,2.278,1.841,-1.251,10.56,-1.242,10.75,-1.281,10.03,0.736,76.73,-2.592,0.48,3.423,99.97,-0.479,31.92,-27.548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,28,0,111.111,0,55.556,0,0,0,55.556,0,0,0,0,0,0,0,0,0,-2,14,0.5,0,0,0,0,0,444.444,111.111,0,55.556,0,0,0,0,111.112,55.556,0,0,0,0,0,0,0,0,2.827,2.846,1.67,433,582.5,242.5,281.5,325,1.952,7.208,0.846,0.727,99.227,3.891,17.734,"If  f(1)=5 ,  f(2)=8  and  f(x)=ax+bx+2 , what is the value of  f(3) ?",0,0,FALSE,FALSE,FALSE,FALSE
What is the value of  x  in the equation  9^4+9^4+9^4=3^x ?,Level 2,1,1,14,1,0,17,0,1.214,0.579,2.929,1.859,-1.738,4.18,-1.567,5.94,-2.153,1.58,0.561,71.23,-5.057,0,4.134,100,3.509,100,-27.497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.647,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,1,0.667,0,0,0,0,0,500,71.429,0,142.857,0,0,0,0,214.286,71.429,71.429,0,0,0,0,0,0,0,2.587,3.211,0,433,582.5,242.5,281.5,325,2.267,4.889,0.846,1.034,89.921,4.195,12.405,What is the value of  x  in the equation  9^4+9^4+9^4=3^x ?,0,0,FALSE,FALSE,FALSE,FALSE
Evaluate    log_82 .,Level 2,1,1,3,1,0,3,0,2,1.732,4.333,3.215,-3.599,0,6.115,100,2.643,99.59,0.436,66.64,-3.028,0.13,-4.789,0,1.502,93.32,-27.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,333.333,333.333,0,0,0,0,0,-2,0,1,0,0,0,0,0,333.333,333.333,0,0,0,0,0,0,333.333,333.333,0,0,0,0,0,0,0,0,0.97,0.97,0.9,0,484,388,340,372,2.5,7.5,1.5,2.25,34.59,9.18,-23.492,Evaluate    log_82 .,0,0,FALSE,FALSE,FALSE,FALSE
"If  x+y=  frac{7}{13}  and  x-y=  frac{1}{91} , what is the value of  x^2-y^2 ? Express your answer as a common fraction.",Level 2,1,2,25,2,0,14,9.899,1.2,0.408,3.28,1.969,-0.001,50,-0.177,43.25,-1.949,2.56,-2.417,0.8,-0.426,33.72,0.854,80.23,-0.332,37.07,1.677,95.25,0,0,0,0,0,0,0,0,0,0,0,0,0.093,0,0.093,0,0,0,0.049,0.786,23.364,0,120,0,40,0,40,0,40,0,0,40,40,40,0,0,0.024,0.333,1,0,1.25,0.76,1,1,0.018,0.018,320,120,0,80,0,0,0,0,160,120,80,0,40,0,0,40,0,0,2.397,3.156,1.17,398,579,321,332.6,395.5,2.321,4.9,1.33,0.842,92.628,3.445,9.289,"If  x+y=  frac{7}{13}  and  x-y=  frac{1}{91} , what is the value of  x^2-y^2 ? Express your answer as a common fraction.",0,0,FALSE,FALSE,FALSE,FALSE
Let  a   clubsuit b =   frac{2a}{b}   cdot   frac{b}{a} . What is  (5   clubsuit (3   clubsuit 6))   clubsuit 1 ?,Level 2,1,2,21,2,0,10,1.414,1.381,0.805,3.095,2.7,1.08,85.77,-0.924,17.88,-3.774,0,1.385,91.62,-3.396,0.03,3.061,99.89,2.605,99.53,1.698,95.45,0,0,1,0,0,1,0.4,0,0.4,0,0,0,0.154,0,0.154,0,0,0,0.069,0.65,11.667,0,0,0,0,0,0,0,0,0,0,47.619,47.619,47.619,0,0,-0.057,1,1,0.5,1.5,0.619,0.905,0.905,0.024,0.024,285.714,95.238,0,0,0,0,0,0,285.714,95.238,47.619,0,0,0,0,0,0,0,3.2,3.318,0,0,613,225,274,325,2,1.167,1.256,0.414,79.345,4.801,48.387,Let  a   clubsuit b =   frac{2a}{b}   cdot   frac{b}{a} . What is  (5   clubsuit (3   clubsuit 6))   clubsuit 1 ?,0,0,FALSE,FALSE,FALSE,FALSE
